"DT_INCLUSAO";"Qualificação_Municípios.Região Covid-19";"Total de Casos";"Cod_Região";"Cod_Macro"
"02/06/2020";"Cachoeira do Sul - R27";2;27;"VA"
"04/06/2020";"Bagé - R22";7;22;"SU"
"01/06/2020";"Guaíba - R09";1;9;"ME"
"03/06/2020";"Bagé - R22";13;22;"SU"
"02/06/2020";"Capão da Canoa - R04, R05";1;4;"ME"
"03/06/2020";"Guaíba - R09";3;9;"ME"
"03/06/2020";"Cruz Alta - R12";5;12;"MI"
"04/06/2020";"Erechim - R16";47;16;"NO"
"21/05/2020";"Cachoeira do Sul - R27";1;27;"VA"
"31/05/2020";"Caxias do Sul - R23, R24, R25, R26";13;23;"SE"
"31/05/2020";"Erechim - R16";7;16;"NO"
"31/05/2020";"Guaíba - R09";1;9;"ME"
"31/05/2020";"Passo Fundo - R17, R18, R19";5;17;"NO"
"04/06/2020";"Cachoeira do Sul - R27";5;27;"VA"
"31/05/2020";"Santa Cruz do Sul - R28";4;28;"VA"
"31/05/2020";"Santa Maria - R01, R02";1;1;"CO"
"31/05/2020";"Santo Ângelo - R11";1;11;"MI"
"31/05/2020";"Novo Hamburgo - R07";1;7;"ME"
"31/05/2020";"Cachoeira do Sul - R27";1;27;"VA"
"31/05/2020";"Capão da Canoa - R04, R05";4;4;"ME"
"31/05/2020";"Uruguaiana - R03";8;3;"CO"
"31/05/2020";"Santa Rosa - R14";2;14;"MI"
"31/05/2020";"Bagé - R22";1;22;"SU"
"31/05/2020";"Lajeado - R29, R30";1;29;"VA"
"31/05/2020";"Canoas - R08";2;8;"ME"
"03/06/2020";"Santa Cruz do Sul - R28";17;28;"VA"
"04/06/2020";"Santa Rosa - R14";2;14;"MI"
"04/06/2020";"Guaíba - R09";7;9;"ME"
"31/05/2020";"Cruz Alta - R12";1;12;"MI"
"30/05/2020";"Cachoeira do Sul - R27";5;27;"VA"
"30/05/2020";"Canoas - R08";15;8;"ME"
"30/05/2020";"Guaíba - R09";8;9;"ME"
"30/05/2020";"Cruz Alta - R12";9;12;"MI"
"30/05/2020";"Novo Hamburgo - R07";12;7;"ME"
"30/05/2020";"Lajeado - R29, R30";40;29;"VA"
"30/05/2020";"Erechim - R16";19;16;"NO"
"30/05/2020";"Pelotas - R21";8;21;"SU"
"30/05/2020";"Santa Cruz do Sul - R28";7;28;"VA"
"30/05/2020";"Santo Ângelo - R11";8;11;"MI"
"30/05/2020";"Taquara - R06";3;6;"ME"
"30/05/2020";"Bagé - R22";2;22;"SU"
"30/05/2020";"Santa Maria - R01, R02";5;1;"CO"
"03/06/2020";"Cachoeira do Sul - R27";3;27;"VA"
"30/05/2020";"Ijuí - R13";2;13;"MI"
"30/05/2020";"Santa Rosa - R14";1;14;"MI"
"30/05/2020";"Uruguaiana - R03";1;3;"CO"
"21/05/2020";"Taquara - R06";1;6;"ME"
"02/06/2020";"Cruz Alta - R12";6;12;"MI"
"01/06/2020";"Bagé - R22";7;22;"SU"
"28/05/2020";"Santa Rosa - R14";3;14;"MI"
"24/05/2020";"Novo Hamburgo - R07";1;7;"ME"
"06/06/2020";"Santa Maria - R01, R02";34;1;"CO"
"06/06/2020";"Santa Cruz do Sul - R28";6;28;"VA"
"06/06/2020";"Caxias do Sul - R23, R24, R25, R26";89;23;"SE"
"06/06/2020";"Novo Hamburgo - R07";35;7;"ME"
"06/06/2020";"Passo Fundo - R17, R18, R19";31;17;"NO"
"06/06/2020";"Palmeira das Missões - R15, R20";13;15;"NO"
"06/06/2020";"Capão da Canoa - R04, R05";14;4;"ME"
"06/06/2020";"Canoas - R08";22;8;"ME"
"06/06/2020";"Porto Alegre - R10";68;10;"ME"
"06/06/2020";"Guaíba - R09";8;9;"ME"
"06/06/2020";"Lajeado - R29, R30";43;29;"VA"
"06/06/2020";"Uruguaiana - R03";4;3;"CO"
"11/06/2020";"Caxias do Sul - R23, R24, R25, R26";130;23;"SE"
"11/06/2020";"Lajeado - R29, R30";36;29;"VA"
"11/06/2020";"Porto Alegre - R10";71;10;"ME"
"11/06/2020";"Cachoeira do Sul - R27";7;27;"VA"
"11/06/2020";"Canoas - R08";21;8;"ME"
"11/06/2020";"Guaíba - R09";10;9;"ME"
"11/06/2020";"Novo Hamburgo - R07";24;7;"ME"
"11/06/2020";"Passo Fundo - R17, R18, R19";77;17;"NO"
"11/06/2020";"Pelotas - R21";10;21;"SU"
"11/06/2020";"Ijuí - R13";13;13;"MI"
"05/06/2020";"Passo Fundo - R17, R18, R19";80;17;"NO"
"05/06/2020";"Erechim - R16";36;16;"NO"
"05/06/2020";"Caxias do Sul - R23, R24, R25, R26";38;23;"SE"
"05/06/2020";"Santa Maria - R01, R02";44;1;"CO"
"05/06/2020";"Novo Hamburgo - R07";17;7;"ME"
"05/06/2020";"Lajeado - R29, R30";80;29;"VA"
"05/06/2020";"Palmeira das Missões - R15, R20";17;15;"NO"
"05/06/2020";"Canoas - R08";32;8;"ME"
"05/06/2020";"Capão da Canoa - R04, R05";13;4;"ME"
"09/06/2020";"Palmeira das Missões - R15, R20";33;15;"NO"
"09/06/2020";"Uruguaiana - R03";21;3;"CO"
"09/06/2020";"Caxias do Sul - R23, R24, R25, R26";133;23;"SE"
"09/06/2020";"Novo Hamburgo - R07";57;7;"ME"
"09/06/2020";"Canoas - R08";22;8;"ME"
"09/06/2020";"Passo Fundo - R17, R18, R19";69;17;"NO"
"09/06/2020";"Ijuí - R13";11;13;"MI"
"09/06/2020";"Lajeado - R29, R30";77;29;"VA"
"09/06/2020";"Capão da Canoa - R04, R05";10;4;"ME"
"09/06/2020";"Santa Cruz do Sul - R28";9;28;"VA"
"09/06/2020";"Bagé - R22";1;22;"SU"
